Datetime,Household,Sensor_Code,Value_Code,Rolling_Count,Hour,DayOfWeek,Hour_Sin,Hour_Cos,Activity_Code,Activity,Prev_Sensor_1,Prev_Value_1,Time_Diff_1,Prev_Sensor_2,Prev_Value_2,Time_Diff_2,Prev_Sensor_3,Prev_Value_3,Time_Diff_3,Prev_Sensor_4,Prev_Value_4,Time_Diff_4
2013-03-01 00:04:14.280135,hh124,1,103,1.0,0,4,0.0,1.0,23,Sleep,-1,-1,0.0,-1,-1,0.0,-1,-1,0.0,-1,-1,0.0
2013-03-01 00:04:15.356898,hh124,1,102,2.0,0,4,0.0,1.0,23,Sleep,1,103,1.076763,-1,-1,0.0,-1,-1,0.0,-1,-1,0.0
2013-03-01 00:04:25.839013,hh124,1,103,3.0,0,4,0.0,1.0,23,Sleep,1,102,10.482115,1,103,11.558878,-1,-1,0.0,-1,-1,0.0
2013-03-01 00:04:26.967621,hh124,1,102,4.0,0,4,0.0,1.0,23,Sleep,1,103,1.128608,1,102,11.610723,1,103,12.687486,-1,-1,0.0
2013-03-01 00:04:28.855427,hh124,1,103,5.0,0,4,0.0,1.0,23,Sleep,1,102,1.887806,1,103,3.016414,1,102,13.498529,1,103,14.575292
2013-03-01 00:04:29.980598,hh124,1,102,6.0,0,4,0.0,1.0,23,Sleep,1,103,1.125171,1,102,3.012977,1,103,4.141585,1,102,14.6237
2013-03-01 00:04:33.747111,hh124,1,103,7.0,0,4,0.0,1.0,23,Sleep,1,102,3.766513,1,103,4.891684,1,102,6.77949,1,103,7.908098
2013-03-01 00:04:34.867316,hh124,1,102,8.0,0,4,0.0,1.0,23,Sleep,1,103,1.120205,1,102,4.886718,1,103,6.011889,1,102,7.899695
2013-03-01 00:04:41.433073,hh124,1,103,9.0,0,4,0.0,1.0,23,Sleep,1,102,6.565757,1,103,7.685962,1,102,11.452475,1,103,12.577646
2013-03-01 00:04:41.522350,hh124,1,103,10.0,0,4,0.0,1.0,23,Sleep,1,103,0.089277,1,102,6.655034,1,103,7.775239,1,102,11.541752
2013-03-01 00:04:42.535079,hh124,1,102,11.0,0,4,0.0,1.0,23,Sleep,1,103,1.012729,1,103,1.102006,1,102,7.667763,1,103,8.787968
2013-03-01 00:04:43.116102,hh124,1,102,12.0,0,4,0.0,1.0,23,Sleep,1,102,0.581023,1,103,1.593752,1,103,1.683029,1,102,8.248786
2013-03-01 00:04:47.020203,hh124,1,103,13.0,0,4,0.0,1.0,23,Sleep,1,102,3.904101,1,102,4.485124,1,103,5.497853,1,103,5.58713
2013-03-01 00:04:48.163500,hh124,1,102,14.0,0,4,0.0,1.0,23,Sleep,1,103,1.143297,1,102,5.047398,1,102,5.628421,1,103,6.64115
2013-03-01 00:04:51.173578,hh124,1,103,15.0,0,4,0.0,1.0,23,Sleep,1,102,3.010078,1,103,4.153375,1,102,8.057476,1,102,8.638499
2013-03-01 00:04:51.345479,hh124,1,103,16.0,0,4,0.0,1.0,23,Sleep,1,103,0.171901,1,102,3.181979,1,103,4.325276,1,102,8.229377
2013-03-01 00:04:52.314959,hh124,1,102,17.0,0,4,0.0,1.0,23,Sleep,1,103,0.96948,1,103,1.141381,1,102,4.151459,1,103,5.294756
2013-03-01 00:04:52.486304,hh124,1,102,18.0,0,4,0.0,1.0,23,Sleep,1,102,0.171345,1,103,1.140825,1,103,1.312726,1,102,4.322804
2013-03-01 00:04:54.175176,hh124,1,103,19.0,0,4,0.0,1.0,23,Sleep,1,102,1.688872,1,102,1.860217,1,103,2.829697,1,103,3.001598
2013-03-01 00:04:55.691658,hh124,1,103,20.0,0,4,0.0,1.0,23,Sleep,1,103,1.516482,1,102,3.205354,1,102,3.376699,1,103,4.346179
2013-03-01 00:04:56.226989,hh124,1,102,21.0,0,4,0.0,1.0,23,Sleep,1,103,0.535331,1,103,2.051813,1,102,3.740685,1,102,3.91203
2013-03-01 00:04:56.803068,hh124,1,102,22.0,0,4,0.0,1.0,23,Sleep,1,102,0.576079,1,103,1.11141,1,103,2.627892,1,102,4.316764
2013-03-01 00:05:01.099635,hh124,1,103,23.0,0,4,0.0,1.0,23,Sleep,1,102,4.296567,1,102,4.872646,1,103,5.407977,1,103,6.924459
2013-03-01 00:05:02.223366,hh124,1,102,24.0,0,4,0.0,1.0,23,Sleep,1,103,1.123731,1,102,5.420298,1,102,5.996377,1,103,6.531708
2013-03-01 00:05:04.860978,hh124,1,103,25.0,0,4,0.0,1.0,23,Sleep,1,102,2.637612,1,103,3.761343,1,102,8.05791,1,102,8.633989
2013-03-01 00:05:08.024627,hh124,1,102,26.0,0,4,0.0,1.0,23,Sleep,1,103,3.163649,1,102,5.801261,1,103,6.924992,1,102,11.221559
2013-03-01 00:05:09.176767,hh124,1,103,27.0,0,4,0.0,1.0,23,Sleep,1,102,1.15214,1,103,4.315789,1,102,6.953401,1,103,8.077132
2013-03-01 00:05:10.310984,hh124,1,102,28.0,0,4,0.0,1.0,23,Sleep,1,103,1.134217,1,102,2.286357,1,103,5.450006,1,102,8.087618
2013-03-01 00:05:17.405889,hh124,1,103,29.0,0,4,0.0,1.0,23,Sleep,1,102,7.094905,1,103,8.229122,1,102,9.381262,1,103,12.544911
2013-03-01 00:05:18.558676,hh124,1,102,30.0,0,4,0.0,1.0,23,Sleep,1,103,1.152787,1,102,8.247692,1,103,9.381909,1,102,10.534049
2013-03-01 00:05:33.751697,hh124,1,103,30.0,0,4,0.0,1.0,23,Sleep,1,102,15.193021,1,103,16.345808,1,102,23.440713,1,103,24.57493
2013-03-01 00:05:34.510738,hh124,1,103,30.0,0,4,0.0,1.0,23,Sleep,1,103,0.759041,1,102,15.952062,1,103,17.104849,1,102,24.199754
